testkevin0	Unassigned;Other
testkevin252	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae
testkevin253	k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__
testkevin254	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;Other;Other
testkevin255	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__
testkevin256	k__Bacteria;p__Bacteroidetes;Other;Other;Other
testkevin257	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other
testkevin258	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__
testkevin259	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae
testkevin260	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae
testkevin261	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae
testkevin262	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae
testkevin263	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae
testkevin264	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7
testkevin265	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]
testkevin266	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]
testkevin267	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]
testkevin268	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
testkevin269	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;Other
testkevin270	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae
testkevin271	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]
testkevin272	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae
testkevin273	k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae
testkevin274	k__Bacteria;p__Chloroflexi;Other;Other;Other
testkevin275	k__Bacteria;p__Chloroflexi;c__Anaerolineae;Other;Other
testkevin276	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__
testkevin277	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__OPB11;f__
testkevin278	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208;f__
testkevin279	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b
testkevin280	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SJA-101
testkevin281	k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__
testkevin282	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae
testkevin283	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1;f__
